ProcessorNumber,url,ProductCollection,CodeName,VerticalSegment,Status,LaunchDate,Lithography,TotalCores,TotalThreads,MaxTurboFrequency,Cache,BusSpeed,EmbeddedOptionsAvailable,Datasheet,MaxMemorySizedependentonmemorytype,MemoryTypes,MaxofMemoryChannels,ECCMemorySupported,ProcessorGraphics,GraphicsMaxDynamicFrequency,MaxResolutionHDMI,MaxResolutionDP,MaxResolutioneDPIntegratedFlatPanel,DirectXSupport,OpenGLSupport,IntelQuickSyncVideo,ofDisplaysSupported,DeviceID,PCIExpressRevision,PCIExpressConfigurations,MaxofPCIExpressLanes,SocketsSupported,MaxCPUConfiguration,TJUNCTION,PackageSize,IntelTurboBoostTechnology,IntelHyperThreadingTechnology,Intel64,InstructionSet,InstructionSetExtensions,IdleStates,EnhancedIntelSpeedStepTechnology,ThermalMonitoringTechnologies,IntelvProPlatformEligibility,IntelAESNewInstructions,SecureKey,IntelSoftwareGuardExtensionsIntelSGX,IntelTrustedExecutionTechnology,ExecuteDisableBit,IntelOSGuard,IntelStableITPlatformProgramSIPP,IntelVirtualizationTechnologyVTx,IntelVirtualizationTechnologyforDirectedIOVTd,IntelVTxwithExtendedPageTablesEPT,RecommendedCustomerPrice,IntelBootGuard
i3-7300T,https://ark.intel.com/products/97457/intel-core-i3-7300t-processor-4m-cache-3-50-ghz.html,7th Generation Intel® Core™ i3 Processors,Products formerly Kaby Lake,Desktop,Discontinued,Q1'17,14 nm,2,4,,4 MB Intel® Smart Cache,8 GT/s,No,View now,64 GB,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",2,Yes,Intel® HD Graphics 630,1.10 GHz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,0x5912,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1151,1,92°C,37.5mm x 37.5mm,No,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,,Yes
i7-1160G7,https://ark.intel.com/content/www/us/en/ark/products/208661/intel-core-i71160g7-processor-12m-cache-up-to-4-40-ghz-with-ipu.html,11th Generation Intel® Core™ i7 Processors,Products formerly Tiger Lake,Mobile,Launched,Q3'20,10 nm SuperFin,4,8,4.40 GHz,12 MB Intel® Smart Cache,2 GT/s,No,View now,32 GB,LPDDR4x-4267,2,No,Intel® Iris® Xe Graphics,1.10 GHz,4096x2304@60Hz,7680x4320@60Hz,4096x2304@60Hz,12.1,4.6,Yes,4,0x9A40,,,,FCBGA1598,1,100°C,26.5x18.5,2.0,Yes,,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",Yes,,Yes,No,Yes,,No,No,,Yes,No,Yes,Yes,Yes,$426.00,Yes
i5-7360U,https://ark.intel.com/products/97535/intel-core-i5-7360u-processor-4m-cache-up-to-3-60-ghz.html,7th Generation Intel® Core™ i5 Processors,Products formerly Kaby Lake,Mobile,Launched,Q1'17,14 nm,2,4,3.60 GHz,4 MB,4 GT/s,No,View now,32 GB,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,No,Intel® Iris® Plus Graphics 640,1.00 GHz,4096x2304@30Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,0x5926,3.0,"1x4, 2x2, 1x2+2x1 and 4x1",12,FCBGA1356,1,100°C,42x24x1.3,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,Yes with Intel® ME,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$304.00,Yes
i5-9500TE,https://ark.intel.com/content/www/us/en/ark/products/195327/intel-core-i5-9500te-processor-9m-cache-up-to-3-60-ghz.html,9th Generation Intel® Core™ i5 Processors,Products formerly Coffee Lake,Embedded,Launched,Q2'19,14 nm,6,6,3.60 GHz,9 MB,8 GT/s,Yes,,128 GB,DDR4-2666,2,No,Intel® UHD Graphics 630,1.10 GHz,4096 x 2160@30Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x3E98,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1151,1,100°C,37.5mm x 37.5mm,2.0,No,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,Yes with Intel® ME,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$192.00,Yes
i5-8365U,https://ark.intel.com/content/www/us/en/ark/products/193555/intel-core-i5-8365u-processor-6m-cache-up-to-4-10-ghz.html,8th Generation Intel® Core™ i5 Processors,Products formerly Whiskey Lake,Mobile,Launched,Q2'19,14 nm,4,8,4.10 GHz,6 MB Intel® Smart Cache,4 GT/s,No,View now,64 GB,"DDR4-2400, LPDDR3-2133",2,No,Intel® UHD Graphics for 8th Generation Intel® Processors,1.10 GHz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,0x3EA0,3.0,"1x4, 2x2, 1x2+2x1 and 4x1",16,FCBGA1528,1,100°C,46x24,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,Yes with Intel® ME,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$297.00,Yes
i3-8350K,https://ark.intel.com/products/126689/intel-core-i3-8350k-processor-8m-cache-4-00-ghz.html,8th Generation Intel® Core™ i3 Processors,Products formerly Coffee Lake,Desktop,Discontinued,Q4'17,14 nm,4,4,,8 MB Intel® Smart Cache,8 GT/s,No,View now,64 GB,DDR4-2400,2,Yes,Intel® UHD Graphics 630,1.15 GHz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,0x3E91,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1151,1,100°C,37.5mm x 37.5mm,No,No,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,,Yes
i3-8145U,https://ark.intel.com/products/149090/intel-core-i3-8145u-processor-4m-cache-up-to-3-90-ghz.html,8th Generation Intel® Core™ i3 Processors,Products formerly Whiskey Lake,Mobile,Launched,Q3'18,14 nm,2,4,3.90 GHz,4 MB Intel® Smart Cache,4 GT/s,No,View now,64 GB,"DDR4-2400, LPDDR3-2133",2,No,Intel® UHD Graphics for 8th Generation Intel® Processors,1.00 GHz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,0x3EA0,3.0,"1x4, 2x2, 1x2+2x1 and 4x1",16,FCBGA1528,1,100°C,46x24,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,,Yes,Yes,Yes,$281.00,Yes
i5-12400F,https://ark.intel.com/content/www/us/en/ark/products/134587/intel-core-i512400f-processor-18m-cache-up-to-4-40-ghz.html,12th Generation Intel® Core™ i5 Processors,Products formerly Alder Lake,Desktop,Launched,Q1'22,Intel 7,6,12,4.40 GHz,18 MB Intel® Smart Cache,,No,View now,128 GB,Up to DDR5 4800 MT/s,2,,,,,,,,,,,,5.0 and 4.0,"Up to 1x16+4, 2x8+4",20,FCLGA1700,1,100°C,45.0 mm x 37.5 mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,,Yes,Yes,Yes,$167.00 - $174.00,Yes
i5-8500,https://ark.intel.com/products/129939/intel-core-i5-8500-processor-9m-cache-up-to-4-10-ghz.html,8th Generation Intel® Core™ i5 Processors,Products formerly Coffee Lake,Desktop,Launched,Q2'18,14 nm,6,6,4.10 GHz,9 MB Intel® Smart Cache,8 GT/s,Yes,View now,128 GB,DDR4-2666,2,No,Intel® UHD Graphics 630,1.10 GHz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,0x3E92,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1151,1,100°C,37.5mm x 37.5mm,2.0,No,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,Yes with Intel® ME,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$192.00,Yes
i9-12900KF,https://ark.intel.com/content/www/us/en/ark/products/134600/intel-core-i912900kf-processor-30m-cache-up-to-5-20-ghz.html,12th Generation Intel® Core™ i9 Processors,Products formerly Alder Lake,Desktop,Launched,Q4'21,Intel 7,16,24,5.20 GHz,30 MB Intel® Smart Cache,,No,View now,128 GB,Up to DDR5 4800 MT/s,2,,,,,,,,,,,,5.0 and 4.0,"Up to 1x16+4, 2x8+4",20,FCLGA1700,1,100°C,45.0 mm x 37.5 mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,,Yes,Yes,Yes,$564.00 - $574.00,Yes
i5-12400,https://ark.intel.com/content/www/us/en/ark/products/134586/intel-core-i512400-processor-18m-cache-up-to-4-40-ghz.html,12th Generation Intel® Core™ i5 Processors,Products formerly Alder Lake,Desktop,Launched,Q1'22,Intel 7,6,12,4.40 GHz,18 MB Intel® Smart Cache,,Yes,View now,128 GB,Up to DDR5 4800 MT/s,2,,Intel® UHD Graphics 730,1.45 GHz,4096 x 2160 @ 60Hz,7680 x 4320 @ 60Hz,5120 x 3200 @ 120Hz,12,4.5,Yes,4,0x4692 / 0x4682,5.0 and 4.0,"Up to 1x16+4, 2x8+4",20,FCLGA1700,1,100°C,45.0 mm x 37.5 mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,,Yes,Yes,Yes,$192.00 - $199.00,Yes
i5-1145G7E,https://ark.intel.com/content/www/us/en/ark/products/208081/intel-core-i51145g7e-processor-8m-cache-up-to-4-10-ghz.html,11th Generation Intel® Core™ i5 Processors,Products formerly Tiger Lake,Embedded,Launched,Q3'20,10 nm SuperFin,4,8,4.10 GHz,8 MB Intel® Smart Cache,4 GT/s,Yes,,64 GB,"DDR4-3200, LPDDR4x-4267",2,No,Intel® Iris® Xe Graphics,1.30 GHz,4096x2304@60Hz,7680x4320@60Hz,4096x2304@60Hz,12.1,4.6,Yes,4,0x9A49,,,,FCBGA1449,1,100C,46.5x25,2.0,Yes,,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",Yes,,Yes,Yes,Yes,,No,Yes,,Yes,,Yes,Yes,Yes,$312.00,Yes
i5-7640X,https://ark.intel.com/products/121500/intel-core-i5-7640x-x-series-processor-6m-cache-up-to-4-20-ghz.html,Intel® Core™ X-series Processors,Products formerly Kaby Lake,Desktop,Discontinued,Q2'17,14 nm,4,,4.20 GHz,6 MB,8 GT/s,No,View now,64 GB,DDR4-2666,2,No,,,,,,,,,,,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA2066,1,100°C,,2.0,,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",,,,,Yes,,,,,,,Yes,Yes,,$242.00,
i7-10750H,https://ark.intel.com/content/www/us/en/ark/products/201837/intel-core-i7-10750h-processor-12m-cache-up-to-5-00-ghz.html,10th Generation Intel® Core™ i7 Processors,Products formerly Comet Lake,Mobile,Launched,Q2'20,14 nm,6,12,5.00 GHz,12 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-2933,2,No,Intel® UHD Graphics for 10th Gen Intel® Processors,1.15 GHz,4096 x 2304@30Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x9BC4,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCBGA1440,1,100°C,42mm x 28mm,,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$395.00,Yes
i5-7287U,https://ark.intel.com/products/97531/intel-core-i5-7287u-processor-4m-cache-up-to-3-70-ghz.html,7th Generation Intel® Core™ i5 Processors,Products formerly Kaby Lake,Mobile,Discontinued,Q1'17,14 nm,2,4,3.70 GHz,4 MB,4 GT/s,No,View now,32 GB,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,No,Intel® Iris® Plus Graphics 650,1.10 GHz,4096x2304@30Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,0x5927,3.0,"1x4, 2x2, 1x2+2x1 and 4x1",12,,1,100°C,42x24x1.3,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,,Yes
i5-1145G7,https://ark.intel.com/content/www/us/en/ark/products/208660/intel-core-i51145g7-processor-8m-cache-up-to-4-40-ghz-with-ipu.html,11th Generation Intel® Core™ i5 Processors,Products formerly Tiger Lake,Mobile,Launched,Q1'21,10 nm SuperFin,4,8,4.40 GHz,8 MB Intel® Smart Cache,4 GT/s,No,View now,64 GB,"DDR4-3200, LPDDR4x-4267",2,No,Intel® Iris® Xe Graphics,1.30 GHz,4096x2304@60Hz,7680x4320@60Hz,4096x2304@60Hz,12.1,4.6,Yes,4,0x9A49,,,,FCBGA1449,1,100°C,45.5x25,2.0,Yes,,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",Yes,,Yes,Yes,Yes,,No,Yes,,Yes,Yes,Yes,Yes,Yes,$309.00,Yes
i5-7600K,https://ark.intel.com/products/97144/intel-core-i5-7600k-processor-6m-cache-up-to-4-20-ghz.html,7th Generation Intel® Core™ i5 Processors,Products formerly Kaby Lake,Desktop,Discontinued,Q1'17,14 nm,4,4,4.20 GHz,6 MB Intel® Smart Cache,8 GT/s,No,View now,64 GB,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",2,No,Intel® HD Graphics 630,1.15 GHz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,0x5912,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1151,1,100°C,37.5mm x 37.5mm,2.0,No,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,,Yes,Yes,No,Yes,Yes,Yes,,Yes
i5-12600T,https://ark.intel.com/content/www/us/en/ark/products/96150/intel-core-i512600t-processor-18m-cache-up-to-4-60-ghz.html,12th Generation Intel® Core™ i5 Processors,Products formerly Alder Lake,Desktop,Launched,Q1'22,Intel 7,6,12,4.60 GHz,18 MB Intel® Smart Cache,,No,View now,128 GB,Up to DDR5 4800 MT/s,2,Yes,Intel® UHD Graphics 770,1.45 GHz,4096 x 2160 @ 60Hz,7680 x 4320 @ 60Hz,5120 x 3200 @ 120Hz,12,4.5,Yes,4,0x4690,5.0 and 4.0,"Up to 1x16+4, 2x8+4",20,FCLGA1700,1,100°C,45.0 mm x 37.5 mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$223.00,Yes
i7-7700,https://ark.intel.com/products/97128/intel-core-i7-7700-processor-8m-cache-up-to-4-20-ghz.html,7th Generation Intel® Core™ i7 Processors,Products formerly Kaby Lake,Desktop,Launched,Q1'17,14 nm,4,8,4.20 GHz,8 MB Intel® Smart Cache,8 GT/s,Yes,View now,64 GB,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",2,No,Intel® HD Graphics 630,1.15 GHz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,0x5912,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1151,1,100°C,37.5mm x 37.5mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,Yes with Intel® ME,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$303.00,Yes
i3-1115G4,https://ark.intel.com/content/www/us/en/ark/products/208920/intel-core-i31115g4-processor-6m-cache-up-to-4-10-ghz-with-ipu.html,11th Generation Intel® Core™ i3 Processors,Products formerly Tiger Lake,Mobile,Launched,Q3'20,10 nm SuperFin,2,4,4.10 GHz,6 MB Intel® Smart Cache,4 GT/s,No,View now,64 GB,"DDR4-3200, LPDDR4x-3733",2,No,Intel® UHD Graphics for 11th Gen Intel® Processors,1.25 GHz,4096x2304@60Hz,7680x4320@60Hz,4096x2304@60Hz,12.1,4.6,Yes,4,0x9A78,,,,FCBGA1449,1,100°C,45.5x25,2.0,Yes,,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",Yes,,Yes,No,Yes,,No,No,,Yes,No,Yes,Yes,Yes,$281.00,Yes
i3-7101E,https://ark.intel.com/products/97130/intel-core-i3-7101e-processor-3m-cache-3-90-ghz.html,7th Generation Intel® Core™ i3 Processors,Products formerly Kaby Lake,Desktop,Launched,Q1'17,14 nm,2,4,,3 MB Intel® Smart Cache,,Yes,View now,64 GB,"DDR3L-1600, DDR4-2400",2,Yes,Intel® HD Graphics 630,1.10 GHz,4096x2304@30Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,0x5902,3.0,"1x16,2x8,1x8+2x4",16,FCLGA1151,1,100°C,37.5mm x 37.5mm,No,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$117.00,Yes
i7-7820HK,https://ark.intel.com/products/97464/intel-core-i7-7820hk-processor-8m-cache-up-to-3-90-ghz.html,7th Generation Intel® Core™ i7 Processors,Products formerly Kaby Lake,Mobile,Launched,Q1'17,14 nm,4,8,3.90 GHz,8 MB,8 GT/s,No,View now,64 GB,"DDR4-2400, LPDDR3-2133, DDR3L-1600",2,No,Intel® HD Graphics 630,1.10 GHz,4096x2304@30Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,0x591B,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCBGA1440,1,100°C,42mm x 28mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,,
i3-9350K,https://ark.intel.com/content/www/us/en/ark/products/186606/intel-core-i3-9350k-processor-8m-cache-up-to-4-60-ghz.html,9th Generation Intel® Core™ i3 Processors,Products formerly Coffee Lake,Desktop,Launched,Q2'19,14 nm,4,4,4.60 GHz,8 MB Intel® Smart Cache,8 GT/s,No,View now,64 GB,DDR4-2400,2,Yes,Intel® UHD Graphics 630,1.15 GHz,4096 x 2304@24Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x3E91,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1151,1,100°C,37.5mm x 37.5mm,2.0,No,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$173.00 - $184.00,Yes
i5-12400T,https://ark.intel.com/content/www/us/en/ark/products/223094/intel-core-i512400t-processor-18m-cache-up-to-4-20-ghz.html,12th Generation Intel® Core™ i5 Processors,Products formerly Alder Lake,Desktop,Launched,Q1'22,Intel 7,6,12,4.20 GHz,18 MB Intel® Smart Cache,,No,View now,128 GB,Up to DDR5 4800 MT/s,2,,Intel® UHD Graphics 730,1.45 GHz,4096 x 2160 @ 60Hz,7680 x 4320 @ 60Hz,5120 x 3200 @ 120Hz,12,4.5,Yes,4,0x4692,5.0 and 4.0,"Up to 1x16+4, 2x8+4",20,FCLGA1700,1,100°C,45.0 mm x 37.5 mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,,Yes,Yes,Yes,$192.00,Yes
i5-7300U,https://ark.intel.com/products/97472/intel-core-i5-7300u-processor-3m-cache-up-to-3-50-ghz.html,7th Generation Intel® Core™ i5 Processors,Products formerly Kaby Lake,Mobile,Launched,Q1'17,14 nm,2,4,3.50 GHz,3 MB Intel® Smart Cache,4 GT/s,Yes,View now,32 GB,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,No,Intel® HD Graphics 620,1.10 GHz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,0x5916,3.0,"1x4, 2x2, 1x2+2x1 and 4x1",12,FCBGA1356,1,100°C,42mm X 24mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,Yes with Intel® ME,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$281.00,Yes
i7-8550U,https://ark.intel.com/products/122589/intel-core-i7-8550u-processor-8m-cache-up-to-4-00-ghz.html,8th Generation Intel® Core™ i7 Processors,Products formerly Kaby Lake R,Mobile,Launched,Q3'17,14 nm,4,8,4.00 GHz,8 MB Intel® Smart Cache,4 GT/s,No,View now,32 GB,"DDR4-2400, LPDDR3-2133",2,No,Intel® UHD Graphics 620,1.15 GHz,4096 x 2304@24Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.4,Yes,3,0x5917,3.0,"1x4, 2x2, 1x2+2x1 and 4x1",12,FC-BGA1356,1,100°C,42mm X 24mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,,Yes,Yes,Yes,,
4415Y,https://ark.intel.com/products/122697/intel-pentium-gold-processor-4415y-2m-cache-1-60-ghz.html,Intel® Pentium® Gold Processor Series,Products formerly Kaby Lake,Mobile,Launched,Q2'17,14 nm,2,4,,2 MB Intel® Smart Cache,4 GT/s,No,View now,16 GB,"LPDDR3-1866, DDR3L-1600",2,No,Intel® HD Graphics 615,850 MHz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.4,Yes,3,0x591E,3.0,"1x4, 2x2, 1x2+2x1 and 4x1",10,FCBGA1515,1,100°C,20mm X 16.5mm,No,Yes,Yes,64-bit,Intel® SSE4.1,Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$161.00,
i5-8260U,https://ark.intel.com/content/www/us/en/ark/products/198389/intel-core-i5-8260u-processor-6m-cache-up-to-3-90-ghz.html,8th Generation Intel® Core™ i5 Processors,Products formerly Coffee Lake,Mobile,Launched,Q4'19,14 nm,4,8,3.90 GHz,6 MB Intel® Smart Cache,4 GT/s OPI,No,View now,64 GB,"DDR4-2400, LPDDR3-2133",2,No,Intel® UHD Graphics 620,1.10 GHz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,0x3EA9,3.0,"1x4, 2x2, 1x2+2x1 and 4x1",16,FCBGA1528,1,100°C,46x24,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$297.00,
i5-10400,https://ark.intel.com/content/www/us/en/ark/products/199271/intel-core-i5-10400-processor-12m-cache-up-to-4-30-ghz.html,10th Generation Intel® Core™ i5 Processors,Products formerly Comet Lake,Desktop,Launched,Q2'20,14 nm,6,12,4.30 GHz,12 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-2666,2,No,Intel® UHD Graphics 630,1.10 GHz,4096 x 2160@30Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x9BC8 / 0x9BC5,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1200,1,100°C,37.5mm x 37.5mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$182.00,Yes
i7-9700,https://ark.intel.com/content/www/us/en/ark/products/191792/intel-core-i7-9700-processor-12m-cache-up-to-4-70-ghz.html,9th Generation Intel® Core™ i7 Processors,Products formerly Coffee Lake,Desktop,Launched,Q2'19,14 nm,8,8,4.70 GHz,12 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-2666,2,No,Intel® UHD Graphics 630,1.20 GHz,4096 x 2304@24Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x3E98,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1151,1,100°C,37.5mm x 37.5mm,2.0,No,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,Yes with Intel® ME,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$323.00 - $333.00,Yes
i7-1185G7E,https://ark.intel.com/content/www/us/en/ark/products/208076/intel-core-i71185g7e-processor-12m-cache-up-to-4-40-ghz.html,11th Generation Intel® Core™ i7 Processors,Products formerly Tiger Lake,Embedded,Launched,Q3'20,10 nm SuperFin,4,8,4.40 GHz,12 MB Intel® Smart Cache,4 GT/s,Yes,,64 GB,"DDR4-3200, LPDDR4x-4267",2,No,Intel® Iris® Xe Graphics,1.35 GHz,4096x2304@60Hz,7680x4320@60Hz,4096x2304@60Hz,12.1,4.6,Yes,4,0x9A49,,,,FCBGA1449,1,100C,46.5x25,2.0,Yes,,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",Yes,,Yes,Yes,Yes,,No,No,,Yes,,Yes,Yes,Yes,$431.00,Yes
i3-12300T,https://ark.intel.com/content/www/us/en/ark/products/223096/intel-core-i312300t-processor-12m-cache-up-to-4-20-ghz.html,12th Generation Intel® Core™ i3 Processors,Products formerly Alder Lake,Desktop,Launched,Q1'22,Intel 7,4,8,4.20 GHz,12 MB Intel® Smart Cache,,No,View now,128 GB,Up to DDR5 4800 MT/s,2,,Intel® UHD Graphics 730,1.45 GHz,4096 x 2160 @ 60Hz,7680 x 4320 @ 60Hz,5120 x 3200 @ 120Hz,12,4.5,Yes,4,0x4692,5.0 and 4.0,"Up to 1x16+4, 2x8+4",20,FCLGA1700,1,100°C,45.0 mm x 37.5 mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,,Yes,Yes,Yes,$143.00,Yes
